Code,Name,Price,Retail Price,Stock Level,Product UPC/EAN,Sold out?,Clearance?
14845,Vista Grand Windchimes - 57 inches,33,49.95,579,849179000158,FALSE,FALSE
14873,"Weird, Scary & Unusual by Armchair Reader",2.59,9.95,#N/A,42799715734,TRUE,FALSE
14892,Hearts and Lips Glowing Candles with Display (12),13,49.95,278,661371010373,FALSE,TRUE
14901,Greeting Card with Vase (6),11.7,49.95,28,661371074788,FALSE,TRUE
14933,Blue Candle Lantern with Vine Stand,9.74,19.95,496,849179011178,FALSE,FALSE
14939,Western Cowboy Garden Fountain,112.53,169.95,49,849179011192,FALSE,FALSE
14940,Elephant Wall Decor,47.4,79.95,112,849179011208,FALSE,FALSE
14941,Wild Night Incense and Holder Gift Set,1.29,3.5,285,817515012806,FALSE,TRUE
14944,Metal 3-Foot Flamingo Yard Art,24.97,39.95,0,849179011215,FALSE,FALSE
14947,Jeweled Ivory Candle Chandelier,23.7,34.95,0,849179004347,FALSE,FALSE
14958,Vintage-Look Patriotic Photo Frame,5.19,17.5,1022,748787124440,FALSE,TRUE
14964,Cast Iron Ladybug Key Hider,4.44,7.95,255,849179011239,FALSE,FALSE
14965,Cast Iron Turtle Key Hider,5.24,7.95,0,849179011246,FALSE,FALSE
14967,Flameless Heartnote Poem Candle - Birthday,6.96,9.99,184,817515013544,FALSE,TRUE
14970,Angel in the Garden Wall Art,13.92,19.99,347,849179013929,FALSE,TRUE
14971,Oceanside Angel Art,13.92,19.99,135,849179013844,FALSE,TRUE
14974,Striped Cotton Hammock Swing Chair,28.82,49.95,0,849179011253,FALSE,FALSE
14976,Silver Mickey Mouse Art Deco 6-inch Tray,10.4,29.95,468,752659663043,FALSE,TRUE
14977,Silver Mickey Mouse Flora 18-inch Tray,19.51,59.95,550,752659663050,FALSE,TRUE
14978,Silver Mickey Mouse Filmstrip Serving Tray,19.51,69.95,147,752659663067,FALSE,TRUE
14980,Silver Mickey Mouse Serving Tray,26.01,99.95,143,752659663081,FALSE,TRUE
14981,Silver Mickey Mouse Salt & Pepper Shakers,13,49.95,119,752659663098,FALSE,TRUE
14982,Silver Mickey Mouse 7-inch Serving Dish,6.49,19.95,315,752659663104,FALSE,TRUE
14991,Fragrance Gift Set - Flowers on a Vine,3.89,9.95,49,849179013813,FALSE,TRUE
14998,84-Inch Sun Rotating Garden Stake,70.61,109.95,147,849179011260,FALSE,FALSE
15000,Gold-Rimmed Indian Style Serving Platter,13,69.95,149,849179005887,FALSE,TRUE
15026,Western-Style Wall Cross,12.61,19.95,278,849179006457,FALSE,FALSE
15029,Lighted Nativity Scene with Christmas Tree,4.18,5.99,346,849179014216,FALSE,FALSE
15030,Lighted Nativity Scene with Angel Wings,4.18,5.99,298,849179014223,FALSE,FALSE
15045,Pourable Container Set,11.02,14.95,0,849179011291,FALSE,FALSE
15056,Lighted Dragon Wall Crest,12.61,19.95,507,849179011307,FALSE,FALSE
15058,Lighted Wings Praying Angel,4.77,6.95,1019,849179005917,FALSE,FALSE
15081,Black Side Table with Crystal Drawer Pull,51.51,89.95,411,849179000448,FALSE,FALSE
15089,Wood Cutwork Nesting Table Set,127.31,199.95,34,849179005221,FALSE,FALSE
15090,Wood Cutwork Round Pedestal Table,42.72,69.95,0,849179005238,FALSE,FALSE
15093,Honeysuckle Hand-Blown Glass Hummingbird Feeder,16.65,24.95,217,849179003449,FALSE,FALSE
15096,Textured Art Glass Birdfeeder Globe,13.2,19.95,0,849179003463,FALSE,FALSE
15098,Hand-Blown Art Glass Bird Feeder,16.65,24.95,36,849179003494,FALSE,FALSE
15101,Birds and Flowers Glass Birdbath with Stand,38.87,69.95,53,849179003500,FALSE,FALSE
