CATEGORY;UNIT UPC;CASE UPC;DESCRIPTION;UNITS PER CASE;X;X;SELL PRICE PER UNIT;SELL PRICE PER CASE;No. OF CASES IN STOCK;NO. OF CASES ORDERED;SUBTOTAL;
BABY NEEDS & DIAPERS;897752002013;89775200206;BOOGIE WIPES 30CT FRESH        ;12;2;6;$2,09;$25,08;680;;$0,00;
BABY NEEDS & DIAPERS;897752002037;89775200208;BOOGIE WIPES 30CT GRAPE        ;12;2;6;$2,02;$24,24;680;;$0,00;
BABY NEEDS & DIAPERS;897752002211;89775200222;BOOGIE WIPES 30CT UNSCNT       ;12;2;6;$2,02;$24,24;680;;$0,00;
BABY NEEDS & DIAPERS;816167011397;81616701139;BOOGIE WIPES 90CT FRESH 3X30CT ;6;1;6;$4,78;$28,68;417;;$0,00;
BABY NEEDS & DIAPERS;74300003009;7430000300;DESITIN CREAMY(DAILY CARE) 2OZ ;36;6;6;$2,99;$107,64;196;;$0,00;
BABY NEEDS & DIAPERS;74300003016;7430000301;DESITIN CREAMY(DAILY CARE) 4OZ ;36;6;6;$4,38;$157,68;133;;$0,00;
BABY NEEDS & DIAPERS;74300000701;7430000070;DESITIN OINTMENT  2 OZ.        ;36;6;6;$2,99;$107,64;198;;$0,00;
BABY NEEDS & DIAPERS;74300000718;7430000071;DESITIN OINTMENT  4 OZ.        ;36;6;6;$4,57;$164,52;214;;$0,00;
BABY NEEDS & DIAPERS;42700304330;4270030433;EVENFLO 30433 NIPPLE ADAPTER QQ;36;6;6;$0,52;$18,72;11;;$0,00;
BABY NEEDS & DIAPERS;36000413182;3600041318;GOODNITE GRL U/WEAR SM-MD 31C Q;3;1;3;$12,89;$38,67;349;;$0,00;
BABY NEEDS & DIAPERS;885131025012;88513102501;GRBR 02501 ORTHO EXERCISER 2CT ;24;6;4;$3,17;$76,08;39;;$0,00;
BABY NEEDS & DIAPERS;885131762269;88513176226;GRBR 1ST ESSENT NIPPLE 3HOLE 3P;24;6;4;$1,68;$40,32;11;;$0,00;
BABY NEEDS & DIAPERS;15000788384;1500078838;GRBR 78838 SIP&SMILE 9OZ CUP 2P;24;12;2;$3,51;$84,24;12;;$0,00;
BABY NEEDS & DIAPERS;885131783875;88513178387;GRBR GRADUATE SFT BITE SPOON 6P;24;4;6;$5,24;$125,76;6;;$0,00;
BABY NEEDS & DIAPERS;36000413137;3600041313;HUGGIES GOODNITE JMB SM BOY 14S;4;1;4;$10,00;$40,00;27;;$0,00;
BABY NEEDS & DIAPERS;36000413168;3600041316;HUGGIES GOODNITE JMBO GRL 11CT ;4;1;4;$10,08;$40,32;521;;$0,00;
BABY NEEDS & DIAPERS;36000413144;3600041314;HUGGIES GOODNITE JMBO SM GRL 14;4;1;4;$10,09;$40,36;256;;$0,00;
BABY NEEDS & DIAPERS;36000407662;3600040766;HUGGIES LITTLE MOVERS SZ3  28CT;4;1;4;$10,05;$40,20;312;;$0,00;
BABY NEEDS & DIAPERS;36000407679;3600040767;HUGGIES LITTLE MOVERS SZ4  24CT;4;1;4;$9,98;$39,92;525;;$0,00;
BABY NEEDS & DIAPERS;36000407983;3600040798;HUGGIES LITTLE MOVERS SZ5  21S ;4;1;4;$9,84;$39,36;520;;$0,00;
BABY NEEDS & DIAPERS;36000407990;3600040799;HUGGIES LITTLE MOVERS SZ6  18CT;4;1;4;$9,91;$39,64;525;;$0,00;
BABY NEEDS & DIAPERS;36000407648;3600040764;HUGGIES LITTLE SNUGGLER SZ1 35S;4;1;4;$9,84;$39,36;350;;$0,00;
BABY NEEDS & DIAPERS;36000407655;3600040765;HUGGIES LITTLE SNUGGLER SZ2 32S;4;1;4;$9,84;$39,36;439;;$0,00;
BABY NEEDS & DIAPERS;36000412413;3600041241;HUGGIES P/U BOY JMBO 2T-3T 25CT;4;1;4;$10,01;$40,04;45;;$0,00;
BABY NEEDS & DIAPERS;36000412475;3600041247;HUGGIES P/U GIRL 4T-5T 18 CT   ;4;1;4;$9,98;$39,92;228;;$0,00;
